,ret,position,return
2014-12-14,0.0298674043756,0.0,0.0
2014-12-21,0.00562956029533,0.0,0.0
2014-12-28,-0.0183502843486,0.0,-0.0
2015-01-04,-0.0184476259175,1.0,-0.0184476259175
2015-01-11,0.0162227738729,0.0,0.0
2015-01-18,0.0205329061916,0.0,0.0
2015-01-25,0.0205013008051,0.0,0.0
2015-02-01,-0.000100445501112,0.0,-0.0
2015-02-08,-0.0173882290109,0.0,-0.0
2015-02-15,0.0423660755282,1.0,0.0423660755282
2015-02-22,0.02458375791,0.0,0.0
2015-03-01,0.018163801121,0.0,0.0
2015-03-08,0.0190356349745,0.0,0.0
2015-03-15,0.0320464635576,0.0,0.0
2015-03-22,0.0823632519425,0.0,0.0
2015-03-29,0.0445254713842,1.0,0.0445254713842
2015-04-05,0.0730956568954,0.0,0.0
2015-04-12,0.0355747869258,1.0,0.0355747869258
2015-04-19,0.00359194955966,0.0,0.0
2015-04-26,0.0549252968279,0.0,0.0
2015-05-03,0.0060075226218,0.0,0.0
2015-05-10,-0.0316873077856,0.0,-0.0
2015-05-17,0.0660383340168,1.0,0.0660383340168
2015-05-24,0.118413828844,1.0,0.118413828844
2015-05-31,0.0192947927989,1.0,0.0192947927989
2015-06-07,0.118159526979,0.0,0.0
2015-06-14,0.0360157892396,1.0,0.0360157892396
2015-06-21,-0.13498223161,0.0,-0.0
2015-06-28,-0.0910495422149,1.0,-0.0910495422149
2015-07-05,-0.189751831555,0.0,-0.0
2015-07-12,-0.0150514543018,0.0,-0.0
2015-07-19,0.103509925175,0.0,0.0
2015-07-26,0.0538315448163,0.0,0.0
2015-08-02,-0.0828502931539,0.0,-0.0
2015-08-09,0.037047148833,1.0,0.037047148833
2015-08-16,0.0763643410538,0.0,0.0
2015-08-23,-0.11736883339,1.0,-0.11736883339
2015-08-30,-0.101144152258,0.0,-0.0
2015-09-06,-0.10526881297,0.0,-0.0
2015-09-13,0.0605564724226,0.0,0.0
2015-09-20,-0.0702931866991,0.0,-0.0
2015-09-27,0.0118437039353,0.0,0.0
2015-10-04,0.0025133105949,0.0,0.0
2015-10-11,0.056553897507,0.0,0.0
2015-10-18,0.0892577168367,0.0,0.0
2015-10-25,0.0128657039845,1.0,0.0128657039845
2015-11-01,-0.007463153063,1.0,-0.007463153063
2015-11-08,0.0510775180503,0.0,0.0
2015-11-15,0.0161497855303,0.0,0.0
2015-11-22,0.0316047278082,0.0,0.0
2015-11-29,-0.0551016922154,0.0,-0.0
2015-12-06,0.0183777990894,0.0,0.0
2015-12-13,-0.0294166523705,0.0,-0.0
2015-12-20,0.0560536884693,0.0,0.0
2015-12-27,0.0120467423883,0.0,0.0
2016-01-03,-0.0223860961167,0.0,-0.0
2016-01-10,-0.137477065059,0.0,-0.0
2016-01-17,-0.102998387025,0.0,-0.0
2016-01-24,0.014749889318,0.0,0.0
2016-01-31,-0.0855239873924,0.0,-0.0
2016-02-07,0.0356678237037,0.0,0.0
2016-02-21,0.0556676577546,0.0,0.0
2016-02-28,-0.055284616373,1.0,-0.055284616373
2016-03-06,-0.00484679984937,0.0,-0.0
2016-03-13,-0.0200269743166,1.0,-0.0200269743166
2016-03-20,0.0799202341305,0.0,0.0
2016-03-27,0.021543802207,0.0,0.0
2016-04-03,0.00774909481972,1.0,0.00774909481972
2016-04-10,0.00721905362681,0.0,0.0
2016-04-17,0.0349527398621,0.0,0.0
2016-04-24,-0.0584285676215,0.0,-0.0
2016-05-01,-0.00428003879112,0.0,-0.0
2016-05-08,-0.00402686895796,0.0,-0.0
2016-05-15,-0.0414616697876,0.0,-0.0
2016-05-22,0.00325363376857,0.0,0.0
2016-05-29,0.00116736880129,0.0,0.0
2016-06-05,0.0510521451657,0.0,0.0
2016-06-12,-0.00144594128158,0.0,-0.0
2016-06-19,-0.00989453298852,0.0,-0.0
2016-06-26,-0.0101691927334,0.0,-0.0
2016-07-03,0.0352191810177,0.0,0.0
2016-07-10,0.0308125017047,0.0,0.0
2016-07-17,0.0224066963608,0.0,0.0
2016-07-24,-0.00777780712199,0.0,-0.0
2016-07-31,-0.0294225936258,0.0,-0.0
